Date,CumCases,CumDeaths,CumVaccinations
03/11/2022,3285552,,
02/11/2022,3280798,,7073958
01/11/2022,3280798,,7073840
31/10/2022,3280798,25175,7073706
30/10/2022,3280798,25172,7073617
29/10/2022,3280798,25167,7073356
28/10/2022,3280798,25155,7072878
27/10/2022,3280798,25142,7072586
26/10/2022,3274043,25125,7072200
25/10/2022,3274043,25120,7071921
24/10/2022,3274043,25096,7071644
23/10/2022,3274043,25078,7071352
22/10/2022,3274043,25063,7071146
21/10/2022,3274043,25050,7070724
20/10/2022,3274043,25017,7070559
19/10/2022,3264230,24988,7070355
18/10/2022,3264230,24969,7070191
17/10/2022,3264230,24945,7070023
16/10/2022,3264230,24922,7069850
15/10/2022,3264230,24894,7069569
14/10/2022,3264230,24876,7069049
13/10/2022,3264230,24854,7068866
12/10/2022,3253317,24836,7068646
11/10/2022,3253317,24812,7068462
10/10/2022,3253317,24795,7068306
09/10/2022,3253317,24774,7068129
08/10/2022,3253317,24759,7067838
07/10/2022,3253317,24747,7067259
06/10/2022,3253317,24732,7067061
05/10/2022,3242522,24716,7066854
04/10/2022,3242522,24694,7066666
03/10/2022,3242522,24672,7066510
02/10/2022,3242522,24657,7066363
01/10/2022,3242522,24645,7066085
30/09/2022,3242522,24637,7065607
29/09/2022,3242522,24625,7065409
28/09/2022,3233909,24617,7065186
27/09/2022,3233909,24602,7064982
26/09/2022,3233909,24595,7064843
25/09/2022,3233909,24584,7064696
24/09/2022,3233909,24577,7064497
23/09/2022,3233909,24572,7064053
22/09/2022,3233909,24564,7063890
21/09/2022,3227924,24557,7063706
20/09/2022,3227924,24550,7063534
19/09/2022,3227924,24544,7063377
18/09/2022,3227924,24534,7063319
17/09/2022,3227924,24528,7063029
16/09/2022,3227924,24524,7062544
15/09/2022,3227924,24517,7062330
14/09/2022,3223144,24504,7062113
13/09/2022,3223144,24499,7061942
12/09/2022,3223144,24487,7061751
11/09/2022,3223144,24484,7061541
10/09/2022,3223144,24477,7061441
09/09/2022,3223144,24469,7061082
08/09/2022,3223144,24463,7060978
07/09/2022,3218316,24453,7060892
06/09/2022,3218316,24444,7060806
05/09/2022,3218316,24436,7060649
04/09/2022,3218316,24431,7060541
03/09/2022,3218316,24416,7060340
